address,name,kind,section_id,evidence,description
0x02C57E50,uking__frm__System__preCalc,hook,12,runtime_ayaneo_20260801,Guest frame system pre-calculation entry
0x02C57E54,uking__frm__System__preCalc_continue,continuation,12,bettervr_v208_patch,Continuation after overwritten instruction
0x02C57E80,uking__frm__System__calcAndRunStateMachine,hook,13,runtime_ayaneo_20260801,Guest game state machine phase
0x02C57E84,uking__frm__System__calcAndRunStateMachine_continue,continuation,13,bettervr_v208_patch,Continuation after overwritten instruction
0x02C57EDC,uking__frm__System__postCalc,hook,14,runtime_ayaneo_20260801,Guest frame system post-calculation entry
0x02C57EE0,uking__frm__System__postCalc_continue,continuation,14,bettervr_v208_patch,Continuation after overwritten instruction
0x0340EEE0,ksys__CalcPlacementMgr,hook,15,runtime_ayaneo_20260801,Placement manager calculation
0x0340EEE4,ksys__CalcPlacementMgr_continue,continuation,15,bettervr_v208_patch,Continuation after overwritten instruction
0x031FCE6C,MCMgr__calcPostBgBaseProcMgr,hook,16,runtime_ayaneo_20260801,Physics post-background processing
0x031FCE74,MCMgr__calcPostBgBaseProcMgr_continue,continuation,16,bettervr_v208_patch,Continuation after two overwritten instructions
0x03414D78,runActorUpdateStuff,hook,17,runtime_ayaneo_20260801,Actor update job dispatch
0x03414D7C,runActorUpdateStuff_continue,continuation,17,bettervr_v208_patch,Continuation after overwritten instruction
0x03416594,gameScene__CalcGraphicsStuff,hook,18,runtime_ayaneo_20260801,Guest graphics calculation phase
0x03416598,gameScene__CalcGraphicsStuff_continue,continuation,18,bettervr_v208_patch,Continuation after overwritten instruction
0x03A128D4,gsys__SystemTask__preCalc,hook,19,runtime_ayaneo_20260801,System task pre-calculation
0x03A128DC,gsys__SystemTask__preCalc_continue,continuation,19,bettervr_v208_patch,Continuation after two overwritten instructions
0x03A135A0,gsys__SystemTask__postCalc,hook,20,runtime_ayaneo_20260801,System task post-calculation
0x03A135A8,gsys__SystemTask__postCalc_continue,continuation,20,bettervr_v208_patch,Continuation after two overwritten instructions
0x03A146E4,gsys__SystemTask__drawTV,hook,21,runtime_ayaneo_20260801,TV draw phase
0x03A146E8,gsys__SystemTask__drawTV_continue,continuation,21,bettervr_v208_patch,Continuation after overwritten instruction
0x03A14808,gsys__SystemTask__drawDRC,hook,22,runtime_ayaneo_20260801,DRC draw phase
0x03A1480C,gsys__SystemTask__drawDRC_continue,continuation,22,bettervr_v208_patch,Continuation after overwritten instruction
0x03A148D8,gsys__SystemTask__postDrawTV,hook,23,runtime_ayaneo_20260801,TV post-draw phase
0x03A148DC,gsys__SystemTask__postDrawTV_continue,continuation,23,bettervr_v208_patch,Continuation after overwritten instruction
0x03A14974,gsys__SystemTask__postDrawDRC,hook,24,runtime_ayaneo_20260801,DRC post-draw phase
0x03A14978,gsys__SystemTask__postDrawDRC_continue,continuation,24,bettervr_v208_patch,Continuation after overwritten instruction
0x037A5DB0,Actor__job0_1,hook,33,runtime_ayaneo_20260801,Actor job group 0 first phase
0x037A5DB8,Actor__job0_1_continue,continuation,33,bettervr_v208_patch,Continuation after two overwritten instructions
0x037A7D40,Actor__job0_2,hook,34,bettervr_v208_patch,Actor job group 0 second phase
0x037A7D44,Actor__job0_2_continue,continuation,34,bettervr_v208_patch,Continuation after overwritten instruction
0x037A6EC8,Actor__job1_1,hook,35,runtime_ayaneo_20260801,Actor job group 1 first phase
0x037A6ECC,Actor__job1_1_continue,continuation,35,bettervr_v208_patch,Continuation after overwritten instruction
0x037A7CBC,Actor__job1_2,hook,36,runtime_ayaneo_20260801,Actor job group 1 second phase
0x037A7CC0,Actor__job1_2_continue,continuation,36,bettervr_v208_patch,Continuation after overwritten instruction
0x037A7438,Actor__job2_1_ragdoll_related,hook,37,runtime_ayaneo_20260801,Ragdoll-related actor job phase
0x037A7448,Actor__job2_1_ragdoll_related_continue,continuation,37,bettervr_v208_patch,Continuation after four overwritten instructions
0x037A7E30,Actor__job2_2,hook,38,bettervr_v208_patch,Actor job group 2 second phase
0x037A7E34,Actor__job2_2_continue,continuation,38,bettervr_v208_patch,Continuation after overwritten instruction
0x037A7C04,Actor__job4,hook,39,runtime_ayaneo_20260801,Actor job group 4
0x037A7C08,Actor__job4_continue,continuation,39,bettervr_v208_patch,Continuation after overwritten instruction
